Riddle,Answer,Hint
"I speak without a mouth and hear without ears. I have no body, but I come alive with the wind. What am I?",An echo,Think about a sound that repeats itself in nature
"The more you take, the more you leave behind. What am I?",Footsteps,Consider what you create as you walk along a beach
"I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?",A map,"I represent the world, but I'm not the world itself"
"What has keys, but no locks; space, but no room; you can enter, but not go in?",A keyboard,It's something you use every day when typing on a computer
"I'm tall when I'm young, and I'm short when I'm old. What am I?",A candle,I change shape as I'm used
What has a head and a tail that are only made of gold?,A coin,You might find me in your pocket or purse
"I have branches, but no fruit, trunk or leaves. What am I?",A bank,Think about where money is stored
What is always in front of you but can't be seen?,The future,It's something that hasn't happened yet
I have a head and a tail that will never meet. Having too many of me is always a treat. What am I?,A coin,I jingle in your pocket
What gets wetter and wetter the more it dries?,A towel,It's used after bathing
"I'm light as a feather, yet the strongest person can't hold me for much longer than a minute. What am I?",Breath,It's essential for life
"I'm not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?",Fire,I provide warmth and light
"I have keys, but no locks. I have space, but no room. You can enter, but not go in. What am I?",A keyboard,You use me to type on a computer
"What comes once in a minute, twice in a moment, but never in a thousand years?",The letter M,Look at the spelling of the words in the riddle
"I am taken from a mine and shut up in a wooden case, from which I am never released, and yet I am used by everyone. What am I?",A pencil lead,You write with me
What has a neck but no head?,A bottle,Think about containers for liquids
"I am always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?",Fire,I consume everything in my path
"What begins with T, ends with T, and has T in it?",A teapot,Think about something used for brewing a popular hot beverage
"What has many keys but no locks, space but no room, and you can enter but not go in?",A keyboard,It's used for typing on computers
"I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?",A map,I show you the world without being the world
"I am not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?",Fire,I provide warmth and light
I have a head and a tail that will never meet. Having too many of me is always a treat. What am I?,A coin,You use me to buy things
What goes up but never comes down?,Age,"It only increases, never decreases"
"I am taken from a mine and shut up in a wooden case, from which I am never released, and yet I am used by everyone. What am I?",Pencil lead,You write with me
"I have keys, but no locks. I have space, but no room. You can enter, but not go in. What am I?",A keyboard,You type on me
"What comes once in a minute, twice in a moment, but never in a thousand years?",The letter M,Look at the spelling of the words
"I am always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?",Fire,I consume everything in my path
What has a neck but no head?,A bottle,Think about containers for liquids
"I am not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?",Fire,I provide warmth and light
"What begins with T, ends with T, and has T in it?",A teapot,Think about something used for brewing a popular hot beverage
"I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?",A map,I show you the world without being the world
What goes up but never comes down?,Age,"It only increases, never decreases"
"I speak without a mouth and hear without ears. I have no body, but I come alive with the wind. What am I?",An echo,Think about a sound that repeats itself in nature
"The more you take, the more you leave behind. What am I?",Footsteps,Consider what you create as you walk along a beach
"I'm tall when I'm young, and I'm short when I'm old. What am I?",A candle,I change shape as I'm used
What has a head and a tail that are only made of gold?,A coin,You might find me in your pocket or purse
"I have branches, but no fruit, trunk or leaves. What am I?",A bank,Think about where money is stored
What is always in front of you but can't be seen?,The future,It's something that hasn't happened yet
What gets wetter and wetter the more it dries?,A towel,It's used after bathing
"I'm light as a feather, yet the strongest person can't hold me for much longer than a minute. What am I?",Breath,It's essential for life
"What has legs, but doesn't walk?",A table,It's a piece of furniture
"I'm full of holes, but I still hold water. What am I?",A sponge,I'm used for cleaning
"What has keys, but no locks; space, but no room; you can enter, but not go in?",A keyboard,It's something you use every day when typing on a computer
I have a head and a tail that will never meet. Having too many of me is always a treat. What am I?,A coin,I jingle in your pocket
"What has many teeth, but can't bite?",A comb,It's used to style hair
"I am taken from a mine and shut up in a wooden case, from which I am never released, and yet I am used by everyone. What am I?",A pencil lead,You write with me
What has a neck but no head?,A bottle,Think about containers for liquids
"I am always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?",Fire,I consume everything in my path
"What begins with T, ends with T, and has T in it?",A teapot,Think about something used for brewing a popular hot beverage
"I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?",A map,I show you the world without being the world
What goes up but never comes down?,Age,"It only increases, never decreases"
"I speak without a mouth and hear without ears. I have no body, but I come alive with the wind. What am I?",An echo,Think about a sound that repeats itself in nature
"The more you take, the more you leave behind. What am I?",Footsteps,Consider what you create as you walk along a beach
"I'm tall when I'm young, and I'm short when I'm old. What am I?",A candle,I change shape as I'm used
What has a head and a tail that are only made of gold?,A coin,You might find me in your pocket or purse
"I have branches, but no fruit, trunk or leaves. What am I?",A bank,Think about where money is stored
What is always in front of you but can't be seen?,The future,It's something that hasn't happened yet
What gets wetter and wetter the more it dries?,A towel,It's used after bathing
"I'm light as a feather, yet the strongest person can't hold me for much longer than a minute. What am I?",Breath,It's essential for life
"What has legs, but doesn't walk?",A table,It's a piece of furniture
"I'm full of holes, but I still hold water. What am I?",A sponge,I'm used for cleaning
"What has keys, but no locks; space, but no room; you can enter, but not go in?",A keyboard,It's something you use every day when typing on a computer
I have a head and a tail that will never meet. Having too many of me is always a treat. What am I?,A coin,I jingle in your pocket
"What has many teeth, but can't bite?",A comb,It's used to style hair
"I am not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?",Fire,I provide warmth and light
"I have keys, but no locks. I have space, but no room. You can enter, but not go in. What am I?",A keyboard,You use me to type on a computer
"What comes once in a minute, twice in a moment, but never in a thousand years?",The letter M,Look at the spelling of the words in the riddle
What can you catch but not throw?,A cold,It's an illness
"I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?",A map,"I represent the world, but I'm not the world itself"
What has a face and two hands but no arms or legs?,A clock,It tells you the time
What gets broken without being held?,A promise,It's an intangible thing
I'm always hungry; I must always be fed. The finger I touch will soon turn red. What am I?,Fire,I consume everything in my path
What has many keys but opens no locks?,A piano,It's a musical instrument
What has a thumb and four fingers but is not alive?,A glove,It's worn on your hand
What goes up and down but never moves?,Stairs,They're part of a building
I have a head and a tail that will never meet. Having too many of me is always a treat. What am I?,A coin,I'm used as currency
What has legs but doesn't walk?,A table,It's a piece of furniture
"I am taken from a mine and shut up in a wooden case, from which I am never released, and yet I am used by everyone. What am I?",Pencil lead,You write with me
What has a neck but no head?,A bottle,It's used to hold liquids
"I am always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?",Fire,I provide warmth and light
"What begins with T, ends with T, and has T in it?",A teapot,It's used to brew a popular hot beverage
"I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?",A map,I show you where things are located
What goes up but never comes down?,Age,It only increases over time
"I speak without a mouth and hear without ears. I have no body, but I come alive with the wind. What am I?",An echo,I'm a repetition of sound
"The more you take, the more you leave behind. What am I?",Footsteps,You create these as you walk
"I'm tall when I'm young, and I'm short when I'm old. What am I?",A candle,I melt as I'm used
What has a head and a tail that are only made of gold?,A coin,I'm used as currency
"I have branches, but no fruit, trunk or leaves. What am I?",A bank,I deal with money
What is always in front of you but can't be seen?,The future,It hasn't happened yet
What gets wetter and wetter the more it dries?,A towel,It's used after bathing
"I'm light as a feather, yet the strongest person can't hold me for much longer than a minute. What am I?",Breath,It's necessary for life
"What has legs, but doesn't walk?",A table,It's a piece of furniture
"I'm full of holes, but I still hold water. What am I?",A sponge,It's used for cleaning
"What has keys, but no locks; space, but no room; you can enter, but not go in?",A keyboard,It's used for typing
I have a head and a tail that will never meet. Having too many of me is always a treat. What am I?,A coin,I'm used as currency
"What has many teeth, but can't bite?",A comb,It's used for hair
What runs around the whole yard without moving?,A fence,It surrounds but doesn't move
"I have keys but no locks, I have space but no room. You can enter, but can't go outside. What am I?",A keyboard,You use me to type
"What has a head, a tail, is brown, and has no legs?",A penny,It's a type of coin
What invention lets you look right through a wall?,A window,It's made of glass
"I am taken from a mine and shut up in a wooden case, from which I am never released, and yet I am used by everyone. What am I?",Pencil lead,You write with me
What can travel around the world while staying in a corner?,A stamp,It's used on envelopes
"I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?",A map,I show you the world on paper
"What has many keys, but no locks; space, but no room; you can enter, but not go in?",A keyboard,You type on it
I'm always hungry; I must always be fed. The finger I touch will soon turn red. What am I?,Fire,I provide warmth and light
What gets wetter and wetter the more it dries?,A towel,You use it after bathing
What goes up but never comes down?,Your age,It only increases
"I speak without a mouth and hear without ears. I have no body, but I come alive with the wind. What am I?",An echo,I repeat what you say
"The more you take, the more you leave behind. What am I?",Footsteps,You make these as you walk
"I have branches, but no fruit, trunk or leaves. What am I?",A bank,I store your money
What has a head and a tail that are only made of gold?,A coin,You use me to buy things
What can you catch but not throw?,A cold,It's an illness
"I have keys, but no locks. I have space, but no room. You can enter, but not go in. What am I?",A keyboard,You use it to type
"What has legs, but doesn't walk?",A table,It's a piece of furniture
"I'm full of holes, but I still hold water. What am I?",A sponge,You use me for cleaning
"What has many teeth, but can't bite?",A comb,You use it on your hair
I have a head and a tail that will never meet. Having too many of me is always a treat. What am I?,A coin,I jingle in your pocket
What has a neck but no head?,A bottle,You drink from me
"What can you break, even if you never pick it up or touch it?",A promise,It's an intangible thing
What goes up and down but doesn't move?,Stairs,They're in buildings
"What has keys that open no locks, space but no room, and you can enter but not go in?",A keyboard,You type on it
What gets bigger when you take away from it?,A hole,Removing material makes it larger
"What starts with the letter ""t"", is filled with ""t"" and ends in ""t""?",A teapot,It's used to brew tea
What has a thumb and four fingers but is not alive?,A glove,You wear it on your hand
What building has the most stories?,A library,Think about books
What has a face and two hands but no arms or legs?,A clock,It tells you the time
"What has roots as nobody sees, is taller than trees, up, up it goes, and yet never grows?",A mountain,It's a natural formation
"What has keys but no locks, space but no room, and you can enter but can't exit?",A keyboard,You use it to type on a computer
What gets wetter as it dries?,A towel,It's used after bathing
I'm tall when I'm young and short when I'm old. What am I?,A candle,I melt over time
What has a neck but no head?,A bottle,You drink from it
What can travel all around the world without leaving its corner?,A stamp,It's used on envelopes
What has teeth but can't eat?,A comb,It's used for hair
What has a face and two hands but no arms or legs?,A clock,It tells time
What can you catch but not throw?,A cold,It's an illness
What has many needles but doesn't sew?,A pine tree,It's an evergreen
What has legs but can't walk?,A table,It's a piece of furniture
What can you break even if you never pick it up or touch it?,A promise,It's an intangible commitment
What goes up but never comes down?,Age,It only increases
What gets broken without being held?,A promise,It's a verbal commitment
What runs around the whole yard without moving?,A fence,It surrounds an area
What can you keep after giving it to someone?,Your word,It's a verbal promise
What has many keys but can't open a single lock?,A piano,It's a musical instrument
What has a head and a tail but no body?,A coin,It's used as currency
What's full of holes but still holds water?,A sponge,It's used for cleaning
What's always coming but never arrives?,Tomorrow,It's always in the future
"What goes through cities and fields, but never moves?",A road,It's a path for travel
What has a thumb and four fingers but is not alive?,A glove,You wear it on your hand
What building has the most stories?,A library,Think about books
What tastes better than it smells?,A tongue,It's in your mouth
"What starts with 'e', ends with 'e', and contains one letter?",An envelope,It carries mail
What has 13 hearts but no other organs?,A deck of cards,It's used for games
What gets bigger when you take away from it?,A hole,Removing material enlarges it
"What has branches but no fruit, trunk or leaves?",A bank,It deals with money
"What runs but never walks, has a mouth but never talks, has a head but never weeps, has a bed but never sleeps?",A river,It's a natural water flow
What can fill a room but takes up no space?,Light,It illuminates
What has legs but doesn't walk?,A chair,It's for sitting
What can you catch but not throw?,A cold,It's an illness
